smiles,id,"logP
experimental
",train/test
[H]N(C(=O)C1([H])C2=C(OC3=C1C([H])=C([H])C([H])=C3[H])C([H])=C([H])C([H])=C2[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],ZINC00030240,3.95,train
[H]OC(=NC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C2=C(OC3=C1C([H])=C([H])C([H])=C3[H])C([H])=C([H])C([H])=C2[H],ZINC00030240,3.95,train
[H]OC(N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])=C1C2=C(OC3=C1C([H])=C([H])C([H])=C3[H])C([H])=C([H])C([H])=C2[H],ZINC00030240,3.95,train
O=C(NC1CCCC1)C1C2=CC=CC=C2OC2=CC=CC=C12,ZINC00030240,3.95,train
OC(=NC1CCCC1)C1C2=CC=CC=C2OC2=CC=CC=C12,ZINC00030240,3.95,train
OC(NC1CCCC1)=C1C2=CC=CC=C2OC2=CC=CC=C12,ZINC00030240,3.95,train
[H]N(C(=O)C([H])([H])SC1=NC([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C(=C1C([H])([H])[H])C([H])([H])[H],ZINC00031483,3.19,train
[H]OC(=NC1=C([H])C([H])=C([H])C(=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])SC1=NC([H])=C([H])C([H])=C1[H],ZINC00031483,3.19,train
[H]OC(N([H])C1=C([H])C([H])=C([H])C(=C1C([H])([H])[H])C([H])([H])[H])=C([H])SC1=NC([H])=C([H])C([H])=C1[H],ZINC00031483,3.19,train
CC1=CC=CC(N=C(O)CSC2=CC=CC=N2)=C1C,ZINC00031483,3.19,train
CC1=CC=CC(NC(=O)CSC2=CC=CC=N2)=C1C,ZINC00031483,3.19,train
CC1=CC=CC(NC(O)=CSC2=CC=CC=N2)=C1C,ZINC00031483,3.19,train
[H]C1=C([H])C(F)=C(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C(F)=C1[H],ZINC00035148,1.88,train
FC1=CC=CC(F)=C1C(=O)N1CCCC1,ZINC00035148,1.88,train
Fc1cccc(F)c1C(=O)N1CCCC1,ZINC00035148,1.88,train
[H]C1=C([H])C2=C(OC(=O)C(=C2C([H])([H])[H])C([H])([H])[H])C(=C1OC([H])([H])[H])C([H])([H])[H],ZINC00036407,3.45,train
COC1=CC=C2C(C)=C(C)C(=O)OC2=C1C,ZINC00036407,3.45,train
COc1ccc2c(C)c(C)c(=O)oc2c1C,ZINC00036407,3.45,train
[H]N1C(=O)C([H])([H])[C@]([H])(C2=C([H])C(=C(C([H])=C12)C([H])([H])[H])C([H])([H])[H])C1=C(OC([H])([H])[H])C([H])=C([H])C([H])=C1[H],ZINC00036522,4.17,train
[H]OC1=C([H])[C@]([H])(C2=C([H])C(=C(C([H])=C2N1[H])C([H])([H])[H])C([H])([H])[H])C1=C(OC([H])([H])[H])C([H])=C([H])C([H])=C1[H],ZINC00036522,4.17,train
[H]OC1=NC2=C([H])C(=C(C([H])=C2[C@]([H])(C2=C(OC([H])([H])[H])C([H])=C([H])C([H])=C2[H])C1([H])[H])C([H])([H])[H])C([H])([H])[H],ZINC00036522,4.17,train
COC1=CC=CC=C1[C@@H]1C=C(O)NC2=C1C=C(C)C(C)=C2,ZINC00036522,4.17,train
COC1=CC=CC=C1[C@@H]1CC(=O)NC2=C1C=C(C)C(C)=C2,ZINC00036522,4.17,train
COC1=CC=CC=C1[C@@H]1CC(O)=NC2=C1C=C(C)C(C)=C2,ZINC00036522,4.17,train
COC1=CC=CC=C1C1C=C(O)NC2=C1C=C(C)C(C)=C2,ZINC00036522,4.17,train
COC1=CC=CC=C1C1CC(=O)NC2=C1C=C(C)C(C)=C2,ZINC00036522,4.17,train
COC1=CC=CC=C1C1CC(O)=NC2=C1C=C(C)C(C)=C2,ZINC00036522,4.17,train
[H]N(C(=O)C1=C(Cl)C2=C([H])C([H])=C([H])C([H])=C2S1)C([H])([H])[C@@]1([H])OC([H])([H])C([H])([H])C1([H])[H],ZINC00041369,3.56,train
